ANSS,Date
2.96875,1996-06-20
3.0,1996-06-21
3.21875,1996-06-24
3.15625,1996-06-25
3.15625,1996-06-26
3.25,1996-06-27
3.28125,1996-06-28
3.21875,1996-07-01
3.25,1996-07-02
3.40625,1996-07-03
3.25,1996-07-05
3.28125,1996-07-08
3.265625,1996-07-09
3.28125,1996-07-10
3.125,1996-07-11
3.09375,1996-07-12
2.96875,1996-07-15
2.71875,1996-07-16
3.03125,1996-07-17
3.1875,1996-07-18
3.21875,1996-07-19
3.1875,1996-07-22
3.09375,1996-07-23
3.125,1996-07-24
3.09375,1996-07-25
3.09375,1996-07-26
3.0625,1996-07-29
2.9375,1996-07-30
2.90625,1996-07-31
2.90625,1996-08-01
3.125,1996-08-02
3.125,1996-08-05
3.1875,1996-08-06
3.21875,1996-08-07
3.3125,1996-08-08
3.34375,1996-08-09
3.375,1996-08-12
3.34375,1996-08-13
3.28125,1996-08-14
3.28125,1996-08-15
3.234375,1996-08-16
3.09375,1996-08-19
3.03125,1996-08-20
2.875,1996-08-21
2.84375,1996-08-22
2.78125,1996-08-23
2.71875,1996-08-26
2.75,1996-08-27
2.8125,1996-08-28
2.8125,1996-08-29
2.84375,1996-08-30
2.75,1996-09-03
2.8125,1996-09-04
2.78125,1996-09-05
2.6875,1996-09-06
2.75,1996-09-09
2.6875,1996-09-10
2.71875,1996-09-11
2.65625,1996-09-12
2.75,1996-09-13
2.78125,1996-09-16
3.0625,1996-09-17
3.0,1996-09-18
3.0,1996-09-19
3.0,1996-09-20
2.90625,1996-09-23
2.8125,1996-09-24
2.8125,1996-09-25
2.84375,1996-09-26
2.9375,1996-09-27
2.90625,1996-09-30
2.875,1996-10-01
2.9375,1996-10-02
3.15625,1996-10-03
3.1875,1996-10-04
3.28125,1996-10-07
3.3125,1996-10-08
3.28125,1996-10-09
3.25,1996-10-10
3.4375,1996-10-11
3.53125,1996-10-14
3.75,1996-10-15
3.765625,1996-10-16
3.84375,1996-10-17
3.78125,1996-10-18
3.71875,1996-10-21
3.4375,1996-10-22
3.1875,1996-10-23
3.125,1996-10-24
3.25,1996-10-25
3.28125,1996-10-28
3.25,1996-10-29
3.0,1996-10-30
3.0625,1996-10-31
3.0,1996-11-01
3.03125,1996-11-04
3.09375,1996-11-05
3.125,1996-11-06
3.125,1996-11-07
3.09375,1996-11-08
3.125,1996-11-11
3.03125,1996-11-12
3.046875,1996-11-13
3.0,1996-11-14
3.0,1996-11-15
3.0,1996-11-18
2.9375,1996-11-19
2.96875,1996-11-20
2.875,1996-11-21
2.875,1996-11-22
2.84375,1996-11-25
2.84375,1996-11-26
2.90625,1996-11-27
2.90625,1996-11-29
2.90625,1996-12-02
2.90625,1996-12-03
2.8125,1996-12-04
2.8125,1996-12-05
2.78125,1996-12-06
2.75,1996-12-09
2.90625,1996-12-10
3.1875,1996-12-11
3.1875,1996-12-12
3.1875,1996-12-13
3.15625,1996-12-16
3.65625,1996-12-17
3.625,1996-12-18
3.59375,1996-12-19
3.40625,1996-12-20
3.25,1996-12-23
3.25,1996-12-24
3.25,1996-12-26
3.34375,1996-12-27
3.3125,1996-12-30
3.375,1996-12-31
3.25,1997-01-02
3.21875,1997-01-03
3.21875,1997-01-06
3.21875,1997-01-07
2.0,1997-01-08
2.0,1997-01-09
2.03125,1997-01-10
2.21875,1997-01-13
2.28125,1997-01-14
2.25,1997-01-15
2.25,1997-01-16
2.28125,1997-01-17
2.40625,1997-01-20
2.4375,1997-01-21
2.5,1997-01-22
2.5,1997-01-23
2.3125,1997-01-24
2.3125,1997-01-27
2.375,1997-01-28
2.3125,1997-01-29
2.34375,1997-01-30
2.375,1997-01-31
2.375,1997-02-03
2.3125,1997-02-04
2.25,1997-02-05
2.25,1997-02-06
2.21875,1997-02-07
2.21875,1997-02-10
2.1875,1997-02-11
2.3125,1997-02-12
2.34375,1997-02-13
2.25,1997-02-14
2.28125,1997-02-18
2.15625,1997-02-19
2.15625,1997-02-20
2.03125,1997-02-21
2.0,1997-02-24
2.0625,1997-02-25
2.09375,1997-02-26
2.09375,1997-02-27
2.0625,1997-02-28
1.96875,1997-03-03
1.96875,1997-03-04
2.0,1997-03-05
2.0,1997-03-06
2.0,1997-03-07
2.03125,1997-03-10
2.125,1997-03-11
2.125,1997-03-12
2.1875,1997-03-13
2.15625,1997-03-14
2.1875,1997-03-17
